PostTime (ET)  | Field | Distance        | Location                       | D | Race#
  00:00        | ?     | ?               | Q Lakeside                     | G | 13
  00:00        | ?     | ?               | Romford                        | G | 1
  00:00        | ?     | ?               | Sheffield                      | G | 1
  00:00        | ?     | ?               | Sheffield                      | G | 2
  00:00        | ?     | ?               | Sheffield                      | G | 3
  00:00        | ?     | ?               | Sheffield                      | G | 4
  00:00        | ?     | ?               | Sheffield                      | G | 5
  00:00        | ?     | ?               | Sheffield                      | G | 6
  00:00        | ?     | ?               | Sheffield                      | G | 7
  00:00        | ?     | ?               | Sheffield                      | G | 8
  00:00        | ?     | ?               | Sheffield                      | G | 9
  00:00        | ?     | ?               | Sheffield                      | G | 10
  00:00        | ?     | ?               | Shelbourne Park                | G | 1
  00:00        | ?     | ?               | Star Pelaw                     | G | 1
  00:00        | ?     | ?               | Suffolk Downs                  | G | 1
  00:00        | ?     | ?               | Sunderland                     | G | 1
  00:00        | ?     | ?               | Swan Hill                      | H | 1
  00:00        | ?     | ?               | Swan Hill                      | H | 2
  00:00        | ?     | ?               | Swan Hill                      | H | 3
  00:00        | ?     | ?               | Swan Hill                      | H | 4
  00:00        | ?     | ?               | Swan Hill                      | H | 5
  00:00        | ?     | ?               | Swan Hill                      | H | 6
  00:00        | ?     | ?               | Swan Hill                      | H | 7
  00:00        | ?     | ?               | Towcester                      | G | 1
  00:00        | ?     | ?               | Townsville                     | T | 1
  00:00        | ?     | ?               | Townsville                     | T | 2
  00:00        | ?     | ?               | Townsville                     | T | 3
  00:00        | ?     | ?               | Townsville                     | T | 4
  00:00        | ?     | ?               | Townsville                     | T | 5
  00:00        | ?     | ?               | Townsville                     | T | 6
  00:00        | ?     | ?               | Townsville                     | T | 7
  00:00        | ?     | ?               | Townsville                     | G | 8
  00:00        | ?     | ?               | Townsville                     | G | 9
  00:00        | ?     | ?               | Townsville                     | G | 10
  00:00        | ?     | ?               | Townsville                     | G | 11
  00:00        | ?     | ?               | Townsville                     | G | 12
  00:00        | ?     | ?               | Tralee                         | G | 1
  00:00        | ?     | ?               | Tralee                         | G | 2
  00:00        | ?     | ?               | Tralee                         | G | 3
  00:00        | ?     | ?               | Tralee                         | G | 4
  00:00        | ?     | ?               | Tralee                         | G | 5
  00:00        | ?     | ?               | Tralee                         | G | 6
  00:00        | ?     | ?               | Tralee                         | G | 7
  00:00        | ?     | ?               | Tralee                         | G | 8
  00:00        | ?     | ?               | Tralee                         | G | 9
  00:00        | ?     | ?               | Warragul                       | G | 1
  00:00        | ?     | ?               | Warragul                       | G | 2
  00:00        | ?     | ?               | Warragul                       | G | 3
  00:00        | ?     | ?               | Warragul                       | G | 4
  00:00        | ?     | ?               | Warragul                       | G | 5
  00:00        | ?     | ?               | Warragul                       | G | 6
  00:00        | ?     | ?               | Warragul                       | G | 7
  00:00        | ?     | ?               | Warragul                       | G | 8
  00:00        | ?     | ?               | Warragul                       | G | 9
  00:00        | ?     | ?               | Warragul                       | G | 10
  00:00        | ?     | ?               | Warragul                       | G | 11
  00:00        | ?     | ?               | Warragul                       | G | 12
  00:00        | ?     | ?               | Yesiloba                       | T | 1
  00:00        | ?     | ?               | Yesiloba                       | T | 2
